,number,value,datetime_start,datetime_complete,duration,params_agg_modes,params_allow_zero_in_degree,params_alphas,params_atom_featurizer,params_attn_drops,params_batch_size,params_bond_featurizer,params_dropout,params_edge_hidden_feats,params_feat_drops,params_graph_feat_size,params_hidden_feats,params_learning_rate,params_model_name,params_node_out_feats,params_num_heads,params_num_layers,params_optimizer,params_predictor_dropout,params_predictor_out_feats,params_residuals,params_rt_scaler,params_self_loop,params_share_weights,params_total_epochs,state
0,0,13.70301640033722,2023-06-21 23:28:37.531689,2023-06-21 23:45:00.499960,0 days 00:16:22.968271,,,,canonical,,285.0,attentive_featurizer,0.3758907162892823,,,492.0,,0.000698758667494637,AttentiveFP,,,3.0,SGD,,,,robust,False,,65.0,COMPLETE
1,1,54.5103605017066,2023-06-21 23:45:00.526247,2023-06-22 00:47:42.490124,0 days 01:02:41.963877,,,,canonical,,42.0,canonical,0.3538797721796598,,,207.0,,0.0006121495193815159,AttentiveFP,,,2.0,SGD,,,,robust,True,,131.0,COMPLETE
2,2,2.202296922914684,2023-06-22 00:47:42.512069,2023-06-22 01:06:37.122797,0 days 00:18:54.610728,,,,canonical,,381.0,attentive_featurizer,0.2498598280867476,,,227.0,,0.00011021576060514343,AttentiveFP,,,5.0,Adam,,,,robust,False,,121.0,COMPLETE
3,3,6.717541299760342,2023-06-22 01:06:37.143981,2023-06-22 01:23:28.849871,0 days 00:16:51.705890,,,,canonical,,350.0,canonical,0.2815024704613269,,,79.0,,0.006774354446765933,AttentiveFP,,,3.0,SGD,,,,robust,True,,187.0,COMPLETE
4,4,9.5643140822649,2023-06-22 01:23:28.870739,2023-06-22 01:42:35.688583,0 days 00:19:06.817844,,,,attentive_featurizer,,483.0,canonical,0.10649912738838127,,,86.0,,1.756011054198731e-05,AttentiveFP,,,5.0,SGD,,,,robust,True,,191.0,COMPLETE
5,5,,2023-06-22 01:42:35.709620,2023-06-22 01:45:03.455617,0 days 00:02:27.745997,,,,canonical,,482.0,canonical,,212.0,,,,0.006482009781478833,MPNN,102.0,,,AdamW,,,,robust,False,,230.0,FAIL
6,6,1.970921266824007,2023-06-22 01:45:04.422949,2023-06-22 02:24:46.763318,0 days 00:39:42.340369,,,,attentive_featurizer,,435.0,attentive_featurizer,0.3764327022182675,,,438.0,,0.0012574385977863374,AttentiveFP,,,3.0,AdamW,,,,robust,False,,198.0,COMPLETE
7,7,,2023-06-22 02:24:46.784459,2023-06-22 02:27:13.330366,0 days 00:02:26.545907,,,,attentive_featurizer,,503.0,canonical,,74.0,,,,4.2168852986840076e-05,MPNN,199.0,,,AdamW,,,,robust,False,,64.0,FAIL
8,8,21.054067388176918,2023-06-22 02:27:13.345197,2023-06-22 02:39:10.379559,0 days 00:11:57.034362,flatten,False,0.2419565935970085,attentive_featurizer,0.42368364855405155,172.0,canonical,,,0.34114327619803997,,51.0,0.0035840787860025804,GATv2,,4.0,3.0,AdamW,0.12252588543776666,433.0,False,robust,True,True,100.0,COMPLETE
9,9,,2023-06-22 02:39:10.401242,2023-06-22 02:39:38.405951,0 days 00:00:28.004709,,,,canonical,,320.0,canonical,,44.0,,,,1.0269697539561874e-05,MPNN,223.0,,,Adam,,,,robust,False,,219.0,FAIL
10,10,16.600122660398483,2023-06-22 02:39:39.402996,2023-06-22 03:10:21.611252,0 days 00:30:42.208256,mean,False,0.39782150684729567,canonical,0.298836283051279,262.0,attentive_featurizer,,,0.18588702954865755,,48.0,0.007115475898721106,GATv2,,8.0,5.0,SGD,0.3216345649240309,148.0,True,robust,True,True,226.0,COMPLETE
11,11,31.59256687760353,2023-06-22 03:10:21.633156,2023-06-22 03:29:29.609203,0 days 00:19:07.976047,mean,False,0.19524047102916875,canonical,0.46981824418605794,151.0,attentive_featurizer,,,0.25981638522787787,,235.0,0.004467672335332619,GATv2,,8.0,5.0,AdamW,0.09002781913393637,139.0,False,robust,False,True,67.0,COMPLETE
12,12,2.8908377662301064,2023-06-22 03:29:29.631031,2023-06-22 04:40:34.381921,0 days 01:11:04.750890,,,,canonical,,439.0,attentive_featurizer,0.5880378717725496,,,462.0,,1.2497835069690793e-05,AttentiveFP,,,5.0,Adam,,,,robust,True,,218.0,COMPLETE
13,13,,2023-06-22 04:40:34.403174,2023-06-22 04:41:04.369025,0 days 00:00:29.965851,,,,attentive_featurizer,,481.0,attentive_featurizer,,85.0,,,,0.0011406651867479297,MPNN,201.0,,,AdamW,,,,robust,False,,169.0,FAIL
14,14,,2023-06-22 04:41:05.305887,2023-06-22 04:41:34.732842,0 days 00:00:29.426955,,,,attentive_featurizer,,508.0,attentive_featurizer,,96.0,,,,0.001703017457931245,MPNN,125.0,,,AdamW,,,,robust,False,,248.0,FAIL
15,15,,2023-06-22 04:41:35.685970,2023-06-22 04:42:06.611777,0 days 00:00:30.925807,,,,attentive_featurizer,,476.0,attentive_featurizer,,35.0,,,,0.0013243424796962455,MPNN,97.0,,,AdamW,,,,robust,False,,166.0,FAIL
16,16,,2023-06-22 04:42:07.635142,2023-06-22 04:42:36.880689,0 days 00:00:29.245547,,,,attentive_featurizer,,504.0,attentive_featurizer,,206.0,,,,0.0014856079849748095,MPNN,252.0,,,AdamW,,,,robust,False,,173.0,FAIL
17,17,,2023-06-22 04:42:37.978648,2023-06-22 04:43:07.256342,0 days 00:00:29.277694,,,,attentive_featurizer,,503.0,attentive_featurizer,,164.0,,,,0.0014983583458784268,MPNN,142.0,,,AdamW,,,,robust,False,,166.0,FAIL
18,18,1.8271223343908787,2023-06-22 04:43:07.269933,2023-06-22 06:42:55.585644,0 days 01:59:48.315711,,,,attentive_featurizer,,511.0,attentive_featurizer,,231.0,,,,0.0014052336297360442,MPNN,77.0,,,AdamW,,,,robust,False,,175.0,COMPLETE
19,19,1.846077024936676,2023-06-22 06:42:55.607011,2023-06-22 08:19:01.377431,0 days 01:36:05.770420,,,,attentive_featurizer,,483.0,attentive_featurizer,,239.0,,,,0.0013364718949379004,MPNN,71.0,,,AdamW,,,,robust,False,,160.0,COMPLETE
20,20,1.7554115802049637,2023-06-22 08:19:01.399325,2023-06-22 09:51:50.353642,0 days 01:32:48.954317,,,,attentive_featurizer,,511.0,attentive_featurizer,,243.0,,,,0.0019406329682566195,MPNN,69.0,,,AdamW,,,,robust,False,,166.0,COMPLETE
21,21,1.9221342466771603,2023-06-22 09:51:50.375250,2023-06-22 11:49:22.523610,0 days 01:57:32.148360,,,,attentive_featurizer,,500.0,attentive_featurizer,,243.0,,,,0.000211548756351425,MPNN,63.0,,,AdamW,,,,robust,False,,249.0,COMPLETE
22,22,,2023-06-22 11:49:22.544485,2023-06-22 11:49:55.126550,0 days 00:00:32.582065,,,,attentive_featurizer,,378.0,attentive_featurizer,,183.0,,,,0.0014371262391547944,MPNN,108.0,,,AdamW,,,,robust,False,,162.0,FAIL
23,23,,2023-06-22 11:49:56.285968,2023-06-22 11:50:27.304948,0 days 00:00:31.018980,,,,attentive_featurizer,,384.0,attentive_featurizer,,179.0,,,,0.0021121865599676264,MPNN,128.0,,,AdamW,,,,robust,False,,160.0,FAIL
24,24,,2023-06-22 11:50:28.430172,2023-06-22 11:50:59.381950,0 days 00:00:30.951778,,,,attentive_featurizer,,385.0,attentive_featurizer,,180.0,,,,0.002143964572404884,MPNN,135.0,,,AdamW,,,,robust,False,,156.0,FAIL
25,25,,2023-06-22 11:50:59.394613,2023-06-22 11:51:30.476212,0 days 00:00:31.081599,,,,attentive_featurizer,,376.0,attentive_featurizer,,184.0,,,,0.0023951610778236614,MPNN,131.0,,,AdamW,,,,robust,False,,160.0,FAIL
26,26,,2023-06-22 11:51:31.622380,2023-06-22 11:52:01.691563,0 days 00:00:30.069183,,,,attentive_featurizer,,369.0,attentive_featurizer,,186.0,,,,0.0027366717532268437,MPNN,135.0,,,AdamW,,,,robust,False,,159.0,FAIL
27,27,,2023-06-22 11:52:02.766712,2023-06-22 11:52:33.296074,0 days 00:00:30.529362,,,,attentive_featurizer,,391.0,attentive_featurizer,,184.0,,,,0.0017810919017198928,MPNN,133.0,,,AdamW,,,,robust,False,,166.0,FAIL
28,28,,2023-06-22 11:52:34.363812,2023-06-22 11:53:04.298207,0 days 00:00:29.934395,,,,attentive_featurizer,,361.0,attentive_featurizer,,178.0,,,,0.0018268054884899587,MPNN,137.0,,,AdamW,,,,robust,False,,163.0,FAIL
29,29,,2023-06-22 11:53:05.442160,2023-06-22 11:53:36.328480,0 days 00:00:30.886320,,,,attentive_featurizer,,375.0,attentive_featurizer,,174.0,,,,0.0021208966000529567,MPNN,135.0,,,AdamW,,,,robust,False,,162.0,FAIL
30,30,,2023-06-22 11:53:37.442957,2023-06-22 11:54:07.481690,0 days 00:00:30.038733,,,,attentive_featurizer,,371.0,attentive_featurizer,,184.0,,,,0.002529755760573845,MPNN,140.0,,,AdamW,,,,robust,False,,154.0,FAIL
31,31,,2023-06-22 11:54:08.647588,2023-06-22 11:54:38.938051,0 days 00:00:30.290463,,,,attentive_featurizer,,367.0,attentive_featurizer,,186.0,,,,0.0022127101238200416,MPNN,135.0,,,AdamW,,,,robust,False,,162.0,FAIL
32,32,,2023-06-22 11:54:40.120115,2023-06-22 11:55:11.318169,0 days 00:00:31.198054,,,,attentive_featurizer,,388.0,attentive_featurizer,,181.0,,,,0.001884868766453021,MPNN,141.0,,,AdamW,,,,robust,False,,160.0,FAIL
33,33,,2023-06-22 11:55:12.387697,2023-06-22 11:55:42.783914,0 days 00:00:30.396217,,,,attentive_featurizer,,378.0,attentive_featurizer,,187.0,,,,0.002143369932001805,MPNN,141.0,,,AdamW,,,,robust,False,,159.0,FAIL
34,34,,2023-06-22 11:55:43.965516,2023-06-22 11:56:14.746199,0 days 00:00:30.780683,,,,attentive_featurizer,,364.0,attentive_featurizer,,185.0,,,,0.0020683716015401496,MPNN,137.0,,,AdamW,,,,robust,False,,159.0,FAIL
35,35,,2023-06-22 11:56:15.932656,2023-06-22 11:56:47.267101,0 days 00:00:31.334445,,,,attentive_featurizer,,374.0,attentive_featurizer,,173.0,,,,0.0015484066200894331,MPNN,124.0,,,AdamW,,,,robust,False,,162.0,FAIL
36,36,,2023-06-22 11:56:48.468002,2023-06-22 11:57:19.141067,0 days 00:00:30.673065,,,,attentive_featurizer,,375.0,attentive_featurizer,,183.0,,,,0.0021452059693634518,MPNN,135.0,,,AdamW,,,,robust,False,,156.0,FAIL
37,37,,2023-06-22 11:57:20.248163,2023-06-22 11:57:52.744553,0 days 00:00:32.496390,,,,attentive_featurizer,,372.0,attentive_featurizer,,175.0,,,,0.0021573034529130744,MPNN,139.0,,,AdamW,,,,robust,False,,160.0,FAIL
38,38,,2023-06-22 11:57:53.969552,2023-06-22 11:58:26.675138,0 days 00:00:32.705586,,,,attentive_featurizer,,365.0,attentive_featurizer,,179.0,,,,0.0019873414620919737,MPNN,138.0,,,AdamW,,,,robust,False,,159.0,FAIL
39,39,,2023-06-22 11:58:28.093502,2023-06-22 11:58:59.813938,0 days 00:00:31.720436,,,,attentive_featurizer,,363.0,attentive_featurizer,,174.0,,,,0.0024724991333554443,MPNN,129.0,,,AdamW,,,,robust,False,,160.0,FAIL
40,40,,2023-06-22 11:59:01.253620,2023-06-22 11:59:37.188561,0 days 00:00:35.934941,,,,attentive_featurizer,,384.0,attentive_featurizer,,176.0,,,,0.0022865083687561368,MPNN,139.0,,,AdamW,,,,robust,False,,167.0,FAIL
41,41,,2023-06-22 11:59:38.643001,2023-06-22 12:00:09.351921,0 days 00:00:30.708920,,,,attentive_featurizer,,387.0,attentive_featurizer,,185.0,,,,0.002003434071157774,MPNN,126.0,,,AdamW,,,,robust,False,,161.0,FAIL
42,42,,2023-06-22 12:00:11.009977,2023-06-22 12:00:45.465128,0 days 00:00:34.455151,,,,attentive_featurizer,,375.0,attentive_featurizer,,181.0,,,,0.0018042204650617832,MPNN,138.0,,,AdamW,,,,robust,False,,159.0,FAIL
43,43,,2023-06-22 12:00:47.020945,2023-06-22 12:01:19.018252,0 days 00:00:31.997307,,,,attentive_featurizer,,391.0,attentive_featurizer,,182.0,,,,0.0018917566306255382,MPNN,129.0,,,AdamW,,,,robust,False,,158.0,FAIL
44,44,,2023-06-22 12:01:20.163044,2023-06-22 12:01:50.791684,0 days 00:00:30.628640,,,,attentive_featurizer,,357.0,attentive_featurizer,,192.0,,,,0.002175837524694213,MPNN,134.0,,,AdamW,,,,robust,False,,155.0,FAIL
45,45,,2023-06-22 12:01:51.949923,2023-06-22 12:02:23.248138,0 days 00:00:31.298215,,,,attentive_featurizer,,373.0,attentive_featurizer,,185.0,,,,0.002382628700526954,MPNN,134.0,,,AdamW,,,,robust,False,,161.0,FAIL
46,46,,2023-06-22 12:02:24.346466,2023-06-22 12:02:54.374485,0 days 00:00:30.028019,,,,attentive_featurizer,,382.0,attentive_featurizer,,181.0,,,,0.0021206763568360066,MPNN,142.0,,,AdamW,,,,robust,False,,157.0,FAIL
47,47,,2023-06-22 12:02:55.509074,2023-06-22 12:03:26.422091,0 days 00:00:30.913017,,,,attentive_featurizer,,374.0,attentive_featurizer,,176.0,,,,0.0021391020266622878,MPNN,136.0,,,AdamW,,,,robust,False,,160.0,FAIL
48,48,,2023-06-22 12:03:27.539997,2023-06-22 12:03:57.708613,0 days 00:00:30.168616,,,,attentive_featurizer,,357.0,attentive_featurizer,,172.0,,,,0.0023933451017665868,MPNN,126.0,,,AdamW,,,,robust,False,,157.0,FAIL
49,49,,2023-06-22 12:03:58.834230,2023-06-22 12:04:28.938845,0 days 00:00:30.104615,,,,attentive_featurizer,,378.0,attentive_featurizer,,186.0,,,,0.002105005561686958,MPNN,132.0,,,AdamW,,,,robust,False,,162.0,FAIL
50,50,,2023-06-22 12:04:30.016466,2023-06-22 12:04:59.860092,0 days 00:00:29.843626,,,,attentive_featurizer,,379.0,attentive_featurizer,,184.0,,,,0.0022581679787935134,MPNN,137.0,,,AdamW,,,,robust,False,,156.0,FAIL
51,51,,2023-06-22 12:05:00.940828,2023-06-22 12:05:32.082189,0 days 00:00:31.141361,,,,attentive_featurizer,,365.0,attentive_featurizer,,180.0,,,,0.0022420652222106697,MPNN,134.0,,,AdamW,,,,robust,False,,160.0,FAIL
52,52,,2023-06-22 12:05:33.164306,2023-06-22 12:06:02.740725,0 days 00:00:29.576419,,,,attentive_featurizer,,387.0,attentive_featurizer,,203.0,,,,0.0020414206632747736,MPNN,140.0,,,AdamW,,,,robust,False,,157.0,FAIL
53,53,,2023-06-22 12:06:03.853508,2023-06-22 12:06:33.594053,0 days 00:00:29.740545,,,,attentive_featurizer,,378.0,attentive_featurizer,,183.0,,,,0.0022636189520759365,MPNN,135.0,,,AdamW,,,,robust,False,,162.0,FAIL
54,54,,2023-06-22 12:06:34.533285,2023-06-22 12:07:04.764487,0 days 00:00:30.231202,,,,attentive_featurizer,,375.0,attentive_featurizer,,186.0,,,,0.0019349181860040712,MPNN,135.0,,,AdamW,,,,robust,False,,162.0,FAIL
55,55,,2023-06-22 12:07:05.714906,2023-06-22 12:07:34.308595,0 days 00:00:28.593689,,,,attentive_featurizer,,372.0,attentive_featurizer,,184.0,,,,0.0021500086007883597,MPNN,122.0,,,AdamW,,,,robust,False,,157.0,FAIL
56,56,,2023-06-22 12:07:35.246796,2023-06-22 12:08:05.666560,0 days 00:00:30.419764,,,,attentive_featurizer,,388.0,attentive_featurizer,,180.0,,,,0.0020602895612433112,MPNN,134.0,,,AdamW,,,,robust,False,,165.0,FAIL
57,57,,2023-06-22 12:08:06.779143,2023-06-22 12:08:35.913471,0 days 00:00:29.134328,,,,attentive_featurizer,,373.0,attentive_featurizer,,180.0,,,,0.00246531436299671,MPNN,128.0,,,AdamW,,,,robust,False,,160.0,FAIL
58,58,,2023-06-22 12:08:35.926265,2023-06-22 12:09:07.127010,0 days 00:00:31.200745,,,,attentive_featurizer,,379.0,attentive_featurizer,,179.0,,,,0.0024198732249069324,MPNN,136.0,,,AdamW,,,,robust,False,,161.0,FAIL
59,59,,2023-06-22 12:09:08.239373,2023-06-22 12:09:38.235583,0 days 00:00:29.996210,,,,attentive_featurizer,,359.0,attentive_featurizer,,183.0,,,,0.0018782391717072624,MPNN,137.0,,,AdamW,,,,robust,False,,164.0,FAIL
60,60,,2023-06-22 12:09:38.248202,2023-06-22 12:10:09.822210,0 days 00:00:31.574008,,,,attentive_featurizer,,379.0,attentive_featurizer,,177.0,,,,0.002428651118897358,MPNN,125.0,,,AdamW,,,,robust,False,,155.0,FAIL
61,61,,2023-06-22 12:10:10.842931,2023-06-22 12:10:41.397561,0 days 00:00:30.554630,,,,attentive_featurizer,,376.0,attentive_featurizer,,182.0,,,,0.002337506546372536,MPNN,136.0,,,AdamW,,,,robust,False,,162.0,FAIL
62,62,,2023-06-22 12:10:41.410333,2023-06-22 12:11:12.768984,0 days 00:00:31.358651,,,,attentive_featurizer,,377.0,attentive_featurizer,,183.0,,,,0.002246242730003013,MPNN,132.0,,,AdamW,,,,robust,False,,157.0,FAIL
63,63,,2023-06-22 12:11:13.831286,2023-06-22 12:11:44.138886,0 days 00:00:30.307600,,,,attentive_featurizer,,384.0,attentive_featurizer,,184.0,,,,0.0021299224277066134,MPNN,126.0,,,AdamW,,,,robust,False,,161.0,FAIL
64,64,,2023-06-22 12:11:45.192349,2023-06-22 12:12:15.037560,0 days 00:00:29.845211,,,,attentive_featurizer,,373.0,attentive_featurizer,,182.0,,,,0.0020143231941981646,MPNN,132.0,,,AdamW,,,,robust,False,,161.0,FAIL
